question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
- (Exam Topic 1) A company wants to implement a continuous integration for its workloads on AWS. The company wants to trigger unit test in its pipeline for commits-on its code repository  and wants to be notified of failure events in the pipeline. How can these requirements be met?,A. Store the source code in AWS CodeCommi,B. Create a CodePipeline to automate unit testin,C. Use Amazon SNS to trigger notifications of failure events.,D. Store the source code in GitHu,E. Create a CodePipeline to automate unit testin,F. Use Amazon SES to trigger notifications of failure events. G. Store the source code on GitHu H. Create a CodePipeline to automate unit testin I. Use Amazon CloudWatch to trigger notifications of failure events. J. Store the source code in AWS CodeCommi K. Create a CodePipeline to automate unit testin L. Use Amazon CloudWatch to trigger notification of failure events.,4,radio,,,
- (Exam Topic 1) During non-peak hours  a Developer wants to minimize the execution time of a full Amazon DynamoDB table scan without affecting normal workloads. The workloads average half of the strongly consistent read capacity units during non-peak hours. How would the Developer optimize this scan?,A. Use parallel scans while limiting the rate,B. Use sequential scans,C. Increase read capacity units during the scan operation,D. Change consistency to eventually consistent during the scan operation,,,1,radio,,,https://aws.amazon.com/blogs/developer/rate-limited-scans-in-amazon-dynamodb/
- (Exam Topic 1) A Developer must repeatedly and consistently deploy a serverless RESTful API on AWS. Which techniques will work? (Choose two.),A. Define a Swagger fil,B. Use AWS Elastic Beanstalk to deploy the Swagger file.,C. Define a Swagger fil,D. Use AWS CodeDeploy to deploy the Swagger file.,E. Deploy a SAM template with an inline Swagger definition.,F. Define a Swagger fil G. Deploy a SAM template that references the Swagger file. H. Define an inline Swagger definition in a Lambda functio I. Invoke the Lambda function.,3,radio,,,https://aws.amazon.com/about-aws/whats-new/2017/02/aws-serverless-application-model-aws-sam-supports-inl https://aws.amazon.com/about-aws/whatsnew/2017/02/aws-serverless-application-model-aws-sam-supports-inl Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As)
- (Exam Topic 1) A Developer is creating an application that needs to locate the public IPv4 address of the Amazon EC2 instance on which it runs. How can the application locate this information?,A. Get the instance metadata by retrieving http://169.254.169.254/latest/metadata/.,B. Get the instance user data by retrieving http://169.254.169.254/latest/userdata/.,C. Get the application to run IFCONFIG to get the public IP address.,D. Get the application to run IPCONFIG to get the public IP address.,,,1,radio,,,
- (Exam Topic 1) An application running on Amazon EC2 instances must access objects within an Amaon S3 busket that are encrypted using server-side encryption using AWS KMS encryption keys (SSE-KMS). The application must have access to the customer master key (CMK) to decrypt the objects. Which combination of steps will grant the application access? (Select TWO.),A. Write an S3 bucket policy that grants the bucket access to the key.,B. Grant access to the key in the IAM EC2 role attached to the application’s EC2 instances.,C. Write a key policy that enables IAM policies to grant access to the key.,D. Grant access to the key in the S3 bucket’s ACL,E. Create a Systems Manager parameter that exposes the KMS key to the EC2 instances.,,2,radio,,,https://aws.amazon.com/premiumsupport/knowledge-center/decrypt-kms-encrypted-objects-s3/ IAM role needs access to the keys to decrypt the object and key policies must allow role access to the key. Key policies are the primary way to control access to customer master keys (CMKs) in AWS KMS. You need the permission to decrypt the AWS KMS key. When a user sends a GET request  Amazon S3 checks if the AWS Identity and Access Management (IAM) user or role that sent the request is authorized to decrypt the key associated with the object. If the IAM user or role belongs to the same AWS account as the key  then the permission to decrypt must be granted on the AWS KMS key’s policy.
- (Exam Topic 1) Which features can be used to restrict access to data in S3? Choose 2 answers,A. Use S3 Virtual Hosting,B. Set an S3 Bucket policy.,C. Enable IAM Identity Federation.,D. Set an S3 ACL on the bucket or the object.,E. Create a CloudFront distribution for the bucket,,2,radio,,,https://aws.amazon.com/premiumsupport/knowledge-center/secure-s3-resources/
- (Exam Topic 1) A Developer is developing an application that manages financial transactions. To improve security  multi-factor authentication (MFA) will be required as part of the login protocol. What services can the Developer use to meet these requirements?,A. Amazon DynamoDB to store MFA session data  and Amazon SNS to send MFA codes,B. Amazon Cognito with MFA,C. AWS Directory Service,D. AWS IAM with MFA enabled,,,2,radio,,,AWS documentation - Cognito MFA Managing Security You can add multi-factor authentication (MFA) to a user pool to protect the identity of your users. MFA adds a second authentication method that doesn't rely solely on user name and password. You can choose to use SMS text messages  or time-based one-time (TOTP) passwords as second factors in signing in your users. You can also use adaptive authentication with its risk-based model to predict when you might need another authentication factor. It's part of the user pool advanced security features  which also include protections against compromised credentials.
- (Exam Topic 1) A company uses Amazon DynamoDB for managing and tracking orders. The DynamoDB table is partitioned based on the order date. The company receives a huge increase in orders during a sales event  causing DynamoDB writes to throttle  and the consumed throughput is far below the provisioned throughput. According to AWS best practices  how can this issue be resolved with MINIMAL costs?,A. Create a new DynamoDB table for every order date.,B. Increase the read and write capacity units of the DynamoDB table.,C. Add a random number suffix to the partition key values.,D. Add a global secondary index to the DynamoDB table. Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),,,3,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/bp-partition-key-uniform-load.html
- (Exam Topic 1) A Developer wants to enable AWS X-Ray for a secure application that runs in an Amazon ECS environment. What combination of steps will enable X-Ray? (Select THREE.),A. Create a Docker image that runs the X-Ray daemon.,B. Add instrumentation to the application code for X-Ray.,C. Install the X-Ray daemon on the underlying EC2 instance.,D. Configure and use an IAM EC2 instance role.,E. Register the application with X-Ray.,F. Configure and use an IAM role for tasks.,1,radio,,,https://docs.aws.amazon.com/xray/latest/devguide/xray-daemon-ecs.html https://docs.aws.amazon.com/xray/latest/devguide/scorekeep-ecs.html
- (Exam Topic 1) EC2 instances are launched from Amazon Machine images (AMIs). A given public AMI can:,A. be used to launch EC2 Instances in any AWS region.,B. only be used to launch EC2 instances in the same country as the AMI is stored.,C. only be used to launch EC2 instances in the same AWS region as the AMI is stored.,D. only be used to launch EC2 instances in the same AWS availability zone as the AMI is stored,,,3,radio,,,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/usingsharedamis-finding.html
- (Exam Topic 1) A Developer uses AWS CodeDeploy to automate application deployment that connects to an external MySQL database. The Developer wants to securely access the encrypted secrets  such as API keys and database passwords. Which of the following solutions would involve the LEAST administrative effort?,A. Save the secrets in Amazon S3 with AWS KMS server-side encryption  and use a signed URL to access them by using the IAM role from Amazon EC2 instances.,B. Use the instance metadata to store the secrets and to programmatically access the secrets from EC2 instances.,C. Use the Amazon DynamoDB client-side encryption library to save the secrets in DynamoDB and to programmatically access the secrets from EC2 instances.,D. Use AWS SSM Parameter Store to store the secrets and to programmatically access them by using the IAM role from EC2 instances.,,,4,radio,,,https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager-parameter-store.html
- (Exam Topic 1) A Developer wants to use AWS X-Ray to trace a user request end-to-end throughput the software stack. The Developer made the necessary changes in the application tested it  and found that the application is able to send the traces to AWS X-Ray. However  when the application is deployed to an EC2 instance  the traces are not available. Which of the following could create this situation? (Select two.),A. The traces are reaching X-Ray  but the Developer does not have access to view the records.,B. The X-Ray daemon is not installed on the EC2 instance.,C. The X-Ray endpoint specified in the application configuration is incorrect.,D. The instance role does not have “xray:BatchGetTraces” and “xray:GetTraceGraph” permissions.,E. The instance role does not have “xray:PutTraceSegments” and “xray:PutTelemetryRecords” permissions.,,2,radio,,,
- (Exam Topic 1) A Developer must build an application that uses Amazon DynamoDB. The requirements state that items being stored in the DynamoDB table will be 7KB in size and that reads must be strongly consistent. The maximum read rate is 3 items per second  and the maximum write rate is 10 items per second. How should the Developer size the DynamoDB table to meet these requirements?,B. The requirements state that items being stored in the DynamoDB table will be 7KB in size and that reads must be strongly consistent. The maximum read rate is 3 items per second  and the maximum write rate is 10 items per second. How should the Developer size the DynamoDB table to meet these requirements?,A. Read: 3 read capacity units Write: 70 write capacity units,B. Read: 6 read capacity units Write: 70 write capacity units,C. Read: 6 read capacity units Write: 10 write capacity units Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),D. Read: 3 read capacity units Write: 10 write capacity units,,2,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Limits.html
- (Exam Topic 1) An application will ingest data at a very high throughput from many sources and must store the data in an Amazon S3 bucket. Which service would BEST accomplish this task?,A. Amazon Kinesis Firehose,B. Amazon S3 Acceleration Transfer,C. Amazon SQS,D. Amazon SNS,,,1,radio,,,
- (Exam Topic 1) A Developer has created a large Lambda function  and deployment is failing with the following error: ClientError: An error occurred (InvalidParameterValueException) when calling the CreateFunction operation: Unzipped size must be smaller than XXXXXXXXX bytes’  where XXXXXXXXX is the current Lambda limit What can the Developer do to fix this problem?,A. Submit a limit increase request to AWS Support to increase the function to the size needed.,B. Use a compression algorithm that is more efficient than ZIP.,C. Break the function into multiple smaller Lambda functions.,D. ZIP the ZIP file twice to compress it further.,,,3,radio,,,
- (Exam Topic 1) A Developer wants to find a list of items in a global secondary index from an Amazon DynamoDB table. Which DynamoDB API call can the Developer use in order to consume the LEAST number of read capacity units?,A. Scan operation using eventually-consistent reads,B. Query operation using strongly-consistent reads,C. Query operation using eventually-consistent reads,D. Scan operation using strongly-consistent reads,,,3,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/bp-query-scan.html
- (Exam Topic 1) When a Simple Queue Service message triggers a task that takes 5 minutes to complete  which process below will result in successful processing of the message and remove it from the queue while minimizing the chances of duplicate processing?,A. Retrieve the message with an increased visibility timeout  process the message  delete the message from the queue,B. Retrieve the message with an increased visibility timeout  delete the message from the queue  process the message,C. Retrieve the message with increased DelaySeconds  process the message  delete the message from the queue,D. Retrieve the message with increased DelaySeconds  delete the message from the queue  process the message,,,1,radio,,,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-visibility-timeout.html
- (Exam Topic 1) Which of the following are valid SNS delivery transports? Choose 2 answers,A. HTTP,B. UDP,C. SMS,D. DynamoDB,E. Named Pipes,,1,radio,,,Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As) https://aws.amazon.com/sns/faqs/ Q: What are the different delivery formats/transports for receiving notifications? In order for customers to have broad flexibility of delivery mechanisms  Amazon SNS supports notifications over multiple transport protocols. Customers can select one the following transports as part of the subscription requests: “HTTP”  “HTTPS” – Subscribers specify a URL as part of the subscription registration; notifications will be delivered through an HTTP POST to the specified URL. ”Email”  “Email-JSON” – Messages are sent to registered addresses as email. Email-JSON sends notifications as a JSON object  while Email sends text-based email. “SQS” – Users can specify an SQS standard queue as the endpoint; Amazon SNS will enqueue a notification message to the specified queue (which subscribers can then process using SQS APIs such as ReceiveMessage  DeleteMessage  etc.). Note that FIFO queues are not currently supported. “SMS” – Messages are sent to registered phone numbers as SMS text messages.
- (Exam Topic 1) A current architecture uses many Lambda functions invoking one another as a large state machine. The coordination of this state machine is legacy custom code that breaks easily. Which AWS Service can help refactor and manage the state machine?,A. AWS Data Pipeline,B. AWS SNS with AWS SQS,C. Amazon Elastic MapReduce,D. AWS Step Functions,,,4,radio,,,https://aws.amazon.com/step-functions/
- (Exam Topic 1) A company needs to encrypt data at rest  but it wants to leverage an AWS managed service using its own master key. Which of the following AWS service can be used to meet these requirements?,A. SSE with Amazon S3,B. SSE with AWS KMS,C. Client-side encryption,D. AWS IAM roles and policies,,,2,radio,,,
- (Exam Topic 1) How should custom libraries be utilized in AWS Lambda?,A. Host the library on Amazon S3 and reference to it from the Lambda function.,B. Install the library locally and upload a ZIP file of the Lambda function.,C. Import the necessary Lambda blueprint when creating the function.,D. Modify the function runtime to include the necessary library.,,,4,radio,,,Reference: https://docs.aws.amazon.com/lambda/latest/dg/env_variables.html
- (Exam Topic 1) A company needs to secure its existing website running behind an Elastic Load Balancer. The website’s Amazon EC2 instances are CPU-constrained. What should be done to secure the website while not increasing the CPU load on the EC2 web servers? (Select TWO.),A. Configure an Elastic Load Balancer with SSL pass-through.,B. Configure SSL certificates on an Elastic Load Balancer.,C. Configure an Elastic Load Balancer with a Loadable Storage System.,D. Install SSL certificates on the EC2 instances.,E. Configure an Elastic Load Balancer with SSL termination.,,2,radio,,,
- (Exam Topic 1) When uploading an object  what request header can be explicitly specified in a request to Amazon S3 to encrypt object data when saved on the server side?,A. x-amz-storage-class,B. Content-MD5,C. x-amz-security-token,D. x-amz-server-side-encryption,,,4,radio,,,Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As) https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingServerSideEncryption.html#APISupportforServer-Sid
- (Exam Topic 1) Which of the following are valid arguments for an SNS Publish request? Choose 3 answers,A. TopicAm,B. Subject,C. Destination,D. Format,E. Message,F. Language,1,radio,,,https://docs.aws.amazon.com/sns/latest/api/API_Publish.html Message MessageAttributes MessageStructure PhoneNumber Subject TargetArn TopicArn
- (Exam Topic 1) A Developer is testing a Docker-based application that uses the AWS SDK to interact with Amazon DynamoDB. In the local development environment  the application has used IAM access keys. The application is now ready for deployment onto an ECS cluster. How should the application authenticate with AWS services in production?,B. In the local development environment  the application has used IAM access keys. The application is now ready for deployment onto an ECS cluster. How should the application authenticate with AWS services in production?,A. Configure an ECS task IAM role for the application to use,B. Refactor the application to call AWS STS AssumeRole based on an instance role,C. Configure AWS access key/secret access key environment variables with new credentials,D. Configure the credentials file with a new access key/secret access key,,1,radio,,,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task_IAM_role.html#:~:targetText=Amazon%
- (Exam Topic 1) A Developer is building a mobile application and needs any update to user profile data to be pushed to all devices accessing the specific identity. The Developer does not want to manage a back end to maintain the user profile data. What is the MOST efficient way for the Developer to achieve these requirements using Amazon Cognito?,A. Use Cognito federated identities.,B. Use a Cognito user pool.,C. Use Cognito Sync.,D. Use Cognito events.,,,3,radio,,,Amazon Cognito Sync is an AWS service and client library that enables cross-device syncing of application-related user data. You can use it to synchronize user profile data across mobile devices and the web without requiring your own backend. https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-sync.html
- (Exam Topic 1) You are providing AWS consulting services for a company developing a new mobile application that will be leveraging Amazon SNS Mobile Push for push notifications. In order to send direct notification messages to individual devices each device registration identifier or token needs to be registered with SNS; however the developers are not sure of the best way to do this. You advise them to:,A. Bulk upload the device tokens contained in a CSV file via the AWS Management Console.,B. Let the push notification service (e.,C. Amazon Device Messaging) handle the registration.,D. Implement a token vending service to handle the registration.,E. Call the CreatePlatformEndPoint API function to register multiple device tokens.,,4,radio,,,https://docs.aws.amazon.com/sns/latest/dg/mobile-push-send-devicetoken.html
- (Exam Topic 1) What are the steps to using the AWS CLI to launch a templatized serverless application?,A. Use AWS CloudFormation get-template then CloudFormation execute-change-set.,B. Use AWS CloudFormation validate-template then CloudFormation create-change-set.,C. Use AWS CloudFormation package then CloudFormation deploy. Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),D. Use AWS CloudFormation create-stack then CloudFormation update-stack.,,,3,radio,,,https://docs.aws.amazon.com/cli/latest/reference/cloudformation/package.html
- (Exam Topic 1) A Developer writes an AWS Lambda function and uploads the code in a .ZIP file to Amazon S3. The Developer makes changes to the code and uploads a new .ZIP file to Amazon S3. However  Lambda executes the earlier code. How can the Developer fix this in the LEAST disruptive way?,A. Create another Lambda function and specify the new .ZIP file.,B. Call the update-function-code API.,C. Remove the earlier .ZIP file first  then add the new .ZIP file.,D. Call the create-alias API.,,,2,radio,,,https://docs.aws.amazon.com/cli/latest/reference/lambda/update-function-code.html
- (Exam Topic 1) An application on AWS is using third-party APIs. The Developer needs to monitor API errors in the code  and wants to receive notifications if failures go above a set threshold value. How can the Developer achieve these requirements?,A. Publish a custom metric on Amazon CloudWatch and use Amazon SES for notification.,B. Use an Amazon CloudWatch API-error metric and use Amazon SNS for notification.,C. Use an Amazon CloudWatch API-error metric and use Amazon SES for notification.,D. Publish a custom metric on Amazon CloudWatch and use Amazon SNS for notification.,,,4,radio,,,
- (Exam Topic 1) You are inserting 1000 new items every second in a DynamoDB table. Once an hour these items are analyzed and then are no longer needed. You need to minimize provisioned throughput  storage  and API calls. Given these requirements  what is the most efficient way to manage these Items after the analysis?,A. Retain the items in a single table,B. Delete items individually over a 24 hour period,C. Delete the table and create a new table per hour,D. Create a new table per hour,,,3,radio,,,
- (Exam Topic 1) An application stores images in an S3 bucket. Amazon S3 event notifications are used to trigger a Lambda function that resizes the images. Processing each image takes less than a second. How will AWS Lambda handle the additional traffic?,A. Lambda will scale out to execute the requests concurrently.,B. Lambda will handle the requests sequentially in the order received.,C. Lambda will process multiple images in a single execution.,D. Lambda will add more compute to each execution to reduce processing time.,,,1,radio,,,
- (Exam Topic 1) Given the source code for an AWS Lambda function in the local store.py containing a handler function called get_store and the following AWS CloudFormation template: Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As) What should be done to prepare the template so that it can be deployed using the AWS CLI command aws cloudformation deploy?,A. Use aws cloudformation compile to base64 encode and embed the source file into a modified CloudFormation template.,B. Use aws cloudformation package to upload the source code to an Amazon S3 bucket and produce a modified CloudFormation template.,C. Use aws lambda zip to package the source file together with the CloudFormation template and deploy the resulting zip archive.,D. Use aws serverless create-package to embed the source file directly into the existing CloudFormation template.,,,2,radio,,,https://docs.aws.amazon.com/cli/latest/reference/cloudformation/package.html
"- (Exam Topic 1) Company C has recently launched an online commerce site for bicycles on AWS. They have a ""Product"" DynamoDB table that stores details for each bicycle  such as  manufacturer  color  price  quantity and size to display in the online store. Due to customer demand  they want to include an image for each bicycle along with the existing details. Which approach below provides the least impact to provisioned throughput on the ""Product"" table?",A. Serialize the image and store it in multiple DynamoDB tables,"B. Create an ""Images"" DynamoDB table to store the Image with a foreign key constraint to the ""Product” table","C. Add an image data type to the ""Product"" table to store the images in binary format","D. Store the images in Amazon S3 and add an S3 URL pointer to the ""Product"" table item for each image",,,4,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/bp-use-s3-too.html#bp-use-s3-too-large-v For example  consider the ProductCatalog table in the Creating Tables and Loading Data for Code Examples in DynamoDB section. Items in this table store information about item price  description  book authors  and dimensions for other products. If you wanted to store an image of each product that was too large to fit in an item  you could store the images in Amazon S3 instead of in DynamoDB.
- (Exam Topic 1) A company is developing a new online game that will run on top of Amazon ECS. Four distinct Amazon ECS services will be part of the architecture  each requiring specific permissions to various AWS services. The company wants to optimize the use of the underlying Amazon EC2 instances by bin packing the containers based on memory reservation. Which configuration would allow the Development team to meet these requirements MOST securely?,A. Create a new Identity and Access Management (IAM) instance profile containing the required permissions for the various ECS services  then associate that instance role with the underlying EC2 instances.,B. Create four distinct IAM roles  each containing the required permissions for the associated ECS service  then configure each ECS service to reference the associated IAM role.,C. Create four distinct IAM roles  each containing the required permissions for the associated ECS service  then  create an IAM group and configure the ECS cluster to reference that group.,D. Create four distinct IAM roles  each containing the required permissions for the associated ECS service  then configure each ECS task definition to referene the associated IAM role.,,,4,radio,,,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task-placement-strategies.html.
- (Exam Topic 1) A Developer is creating a mobile application with a limited budget. The solution requires a scalable service that will enable customers to sign up and authenticate into the mobile application while using the organization’s current SAML 2.0 identity provider. Which AWS service should be used to meet these requirements?,A. AWS Lambda,B. Amazon Cognito,C. AWS IAM,D. Amazon EC2,,,2,radio,,,
- (Exam Topic 1) Which of the following programming languages have an officially supported AWS SDK? Choose 2 answers,A. Perl,B. PHP,C. Pascal,D. Java,E. SQL,,2,radio,,,
- (Exam Topic 1) A Lambda function is packaged for deployment to multiple environments  including development  test  production  etc. Each environment has unique set of resources such as databases  etc. How can the Lambda function use the resources for the current environment?,A. Apply tags to the Lambda functions.,B. Hardcore resources in the source code.,C. Use environment variables for the Lambda functions.,D. Use separate function for development and production.,,,3,radio,,,
- (Exam Topic 1) A Developer created configuration specifications for an AWS Elastic Beanstalk application in a file named healthcheckurl.yaml in the .ebextensions/directory of their application source bundle. The file contains the following: After the application launches  the health check is not being run on the correct path  event though it is valid. What can be done to correct this configuration file?,A. Convert the file to JSON format.,B. Rename the file to a .config extension.,C. Change the configuration section from options_settings to resources.,D. Change the namespace of the option settings to a cusom namespace.,,,2,radio,,,Reference: https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/ebextensions.html You can add AWS Elastic Beanstalk configuration files (.ebextensions) to your web application's source code to configure your environment and customize the AWS resources that it contains. Configuration files are YAML- or JSON-formatted documents with a .config file extension that you place in a folder named .e bextensions and deploy in your application source bundle. https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/ebextensions.html
- (Exam Topic 1) What is the format of structured notification messages sent by Amazon SNS?,A. An XML object containing MessageId  UnsubscribeURL  Subject  Message and other values,B. An JSON object containing MessageId  DuplicateFlag  Message and other values,C. An XML object containing MessageId  DuplicateFlag  Message and other values,D. An JSON object containing MessageId  unsubscribeURL  Subject  Message and other values,,,4,radio,,,https://docs.aws.amazon.com/sns/latest/dg/sns-message-and-json-formats.html#http-notification-json
- (Exam Topic 1) A company has a multi-tiered web application on AWS. During a recent spike in traffic  one of the primary relational databases on Amazon RDS could not serve all the traffic. Some read queries for repeatedly accessed items failed  so users received error messages. What can be done to minimize the impact on database read queries MOST efficiently during future traffic spikes?,A. Use Amazon S3 to cache database query results.,B. Use Amazon RDS as a custom origin for Amazon CloudFront. Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),C. Use local storage and memory on Amazon EC2 instances to cache data.,D. Use Amazon ElastiCache in front of the primary database to cache data.,,,4,radio,,,
