question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
A business need a data warehouse system that stores data consistently and in a highly organized fashion. The organization demands rapid response times for enduser inquiries including current-year data  and users must have access to the whole 15-year dataset when necessary. Additionally  this solution must be able to manage a variable volume of incoming inquiries. Costs associated with storing the 100 TB of data must be maintained to a minimum. Which solution satisfies these criteria?,A. Leverage an Amazon Redshift data warehouse solution using a dense storage instance type while keeping all the data on local Amazon Redshift storag,B. Provision enough instances to support high demand.,C. Leverage an Amazon Redshift data warehouse solution using a dense storage instance to store the most recent dat,D. Keep historical data on Amazon S3 and access it using the Amazon Redshift Spectrum laye,E. Provision enough instances to support high demand.,F. Leverage an Amazon Redshift data warehouse solution using a dense storage instance to store the most recent dat G. Keep historical data on Amazon S3 and access it using the Amazon Redshift Spectrum laye H. Enable Amazon Redshift Concurrency Scaling. I. Leverage an Amazon Redshift data warehouse solution using a dense storage instance to store the most recent dat J. Keep historical data on Amazon S3 and access it using the Amazon Redshift Spectrum laye K. Leverage Amazon Redshift elastic resize.,3,radio,,,"With the Concurrency Scaling feature, you can support virtually unlimited concurrent users and concurrent queries, with consistently fast query performance.
When concurrency scaling is enabled, Amazon Redshift automatically adds additional cluster capacity when you need it to process an increase in concurrent read
queries. Write operations continue as normal on your main cluster. Users always see the most current data, whether the queries run on the main cluster or on a
concurrency scaling cluster. You're charged for concurrency scaling clusters only for the time they're in use. For more information about pricing, see Amazon
Redshift pricing. You manage which queries are sent to the concurrency scaling cluster by configuring WLM queues. When you enable concurrency scaling for a
A company wants to automate the creation of secure test databases with random credentials to be stored safely for later use. The credentials should have sufficient information about each test database to initiate a connection and perform automated credential rotations. The credentials should not be logged or stored anywhere in an unencrypted form. Which steps should a Database Specialist take to meet these requirements using an AWS CloudFormation template?,A. Create the database with the MasterUserName and MasterUserPassword properties set to the default value,B. Then  create the secret with the user name and password set to the same default value,C. Add aSecret Target Attachment resource with the SecretId and TargetId properties set to the Amazon Resource Names (ARNs) of the secret and the databas,D. Finally  update the secret’s password value with a randomly generated string set by the GenerateSecretString property.,E. Add a Mapping property from the database Amazon Resource Name (ARN) to the secret AR,F. Then  create the secret with a chosen user name and a randomly generated password set by the GenerateSecretString propert G. Add the database with the MasterUserName and MasterUserPassword properties set to the user name of the secret. H. Add a resource of type AWS::SecretsManager::Secret and specify the GenerateSecretString property.Then  define the database user name in the SecureStringTemplate templat I. Create a resource for the database and reference the secret string for the MasterUserName and MasterUserPassword propertie J. Then  add a resource of type AWS::SecretsManagerSecretTargetAttachment with the SecretId and TargetId properties set to the Amazon Resource Names (ARNs) of the secret and the database. K. Create the secret with a chosen user name and a randomly generated password set by the GenerateSecretString propert L. Add an SecretTargetAttachment resource with the SecretId property set to the Amazon Resource Name (ARN) of the secret and the TargetId property set to a parameter value matching the desired database AR M. Then  create a database with the MasterUserName and MasterUserPassword properties set to the previously created values in the secret.,3,radio,,,
A company is running its line of business application on AWS  which uses Amazon RDS for MySQL at the persistent data store. The company wants to minimize downtime when it migrates the database to Amazon Aurora. Which migration method should a Database Specialist use?,A. Take a snapshot of the RDS for MySQL DB instance and create a new Aurora DB cluster with the option to migrate snapshots.,B. Make a backup of the RDS for MySQL DB instance using the mysqldump utility  create a new Aurora DB cluster  and restore the backup.,C. Create an Aurora Replica from the RDS for MySQL DB instance and promote the Aurora DB cluster.,D. Create a clone of the RDS for MySQL DB instance and promote the Aurora DB cluster.,,,3,radio,,,https://aws.amazon.com/blogs/database/best-practices-for-migrating-rds-for-mysql-databases-to-amazon-aurora/ https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraPostgreSQL.Migrating.html#Aurora
A company has a heterogeneous six-node production Amazon Aurora DB cluster that handles online transaction processing (OLTP) for the core business and OLAP reports for the human resources department. To match compute resources to the use case  the company has decided to have the reporting workload for the human resources department be directed to two small nodes in the Aurora DB cluster  while every other workload goes to four large nodes in the same DB cluster. Which option would ensure that the correct nodes are always available for the appropriate workload while meeting these requirements?,A. Use the writer endpoint for OLTP and the reader endpoint for the OLAP reporting workload.,B. Use automatic scaling for the Aurora Replica to have the appropriate number of replicas for the desired workload.,C. Create additional readers to cater to the different scenarios.,D. Use custom endpoints to satisfy the different workloads.,,,4,radio,,,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-aurora-simplifies-workload-management-with-c You can now create custom endpoints for Amazon Aurora databases. This allows you to distribute and load balance workloads across different sets of database instances in your Aurora cluster. For example  you may provision a set of Aurora Replicas to use an instance type with higher memory capacity in order to run an analytics workload. A custom endpoint can then help you route the analytics workload to these appropriately-configured instances  while keeping other instances in your cluster isolated from this workload. As you add or remove instances from the custom endpoint to match your workload  the endpoint helps spread the load around.
A financial services company is developing a shared data service that supports different applications from throughout the company. A Database Specialist designed a solution to leverage Amazon ElastiCache for Redis with cluster mode enabled to enhance performance and scalability. The cluster is configured to listen on port 6379. Which combination of steps should the Database Specialist take to secure the cache data and protect it from unauthorized access? (Choose three.),A. Enable in-transit and at-rest encryption on the ElastiCache cluster.,B. Ensure that Amazon CloudWatch metrics are configured in the ElastiCache cluster.,C. Ensure the security group for the ElastiCache cluster allows all inbound traffic from itself and inbound traffic on TCP port 6379 from trusted clients only.,D. Create an IAM policy to allow the application service roles to access all ElastiCache API actions.,E. Ensure the security group for the ElastiCache clients authorize inbound TCP port 6379 and port 22 traffic from the trusted ElastiCache cluster’s security group.,F. Ensure the cluster is created with the auth-token parameter and that the parameter is used in all subsequent commands.,1,radio,,,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/encryption.html
A significant automotive manufacturer is switching a mission-critical finance application's database to Amazon DynamoDB. According to the company's risk and compliance policy  any update to the database must be documented as a log entry for auditing purposes. Each minute  the system anticipates about 500 000 log entries. Log entries should be kept in Apache Parquet files in batches of at least 100 000 records per file. How could a database professional approach these needs while using DynamoDB?,B. According to the company's risk and compliance policy  any update to the database must be documented as a log entry for auditing purposes. Each minute  the system anticipates about 500 000 log entries. Log entries should be kept in Apache Parquet files in batches of at least 100 000 records per file. How could a database professional approach these needs while using DynamoDB?,A. Enable Amazon DynamoDB Streams on the tabl,B. Create an AWS Lambda function triggered by the strea,C. Write the log entries to an Amazon S3 object.,D. Create a backup plan in AWS Backup to back up the DynamoDB table once a da,E. Create an AWS Lambda function that restores the backup in another table and compares both tables for change,F. Generate the log entries and write them to an Amazon S3 object. G. Enable AWS CloudTrail logs on the tabl H. Create an AWS Lambda function that reads the log files once an hour and filters DynamoDB API action I. Write the filtered log files to Amazon S3. J. Enable Amazon DynamoDB Streams on the tabl K. Create an AWS Lambda function triggered by the strea L. Write the log entries to an Amazon Kinesis Data Firehose delivery stream with buffering and Amazon S3 as the destination.,4,radio,,
A Database Specialist migrated an existing production MySQL database from on-premises to an Amazon RDS for MySQL DB instance. However  after the migration  the database needed to be encrypted at rest using AWS KMS. Due to the size of the database  reloading  the data into an encrypted database would be too time- consuming  so it is not an option. How should the Database Specialist satisfy this new requirement?,A. Create a snapshot of the unencrypted RDS DB instanc,B. Create an encrypted copy of the unencrypted snapsho,C. Restore the encrypted snapshot copy.,D. Modify the RDS DB instanc,E. Enable the AWS KMS encryption option that leverages the AWS CLI.,F. Restore an unencrypted snapshot into a MySQL RDS DB instance that is encrypted. G. Create an encrypted read replica of the RDS DB instanc H. Promote it the master.,1,radio,,,"However, because you can encrypt a copy of an unencrypted DB snapshot, you can effectively add encryption to an unencrypted DB instance. That is, you can
create a snapshot of your DB instance, and then create an encrypted copy of that snapshot. You can then restore a DB instance from the encrypted snapshot, and
thus you have an encrypted copy of your original DB instance. For more information, see Copying a Snapshot. https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html"
A database professional maintains a fleet of Amazon RDS database instances that are configured to utilize the default database parameter group. A database expert must connect a custom parameter group with certain database instances. When will the instances be allocated to this new parameter group once the database specialist performs this change?,A. Instantaneously after the change is made to the parameter group,B. In the next scheduled maintenance window of the DB instances,C. After the DB instances are manually rebooted,D. Within 24 hours after the change is made to the parameter group,,,3,radio,,,When you associate a new DB parameter group with a DB instance  the modified static and dynamic parameters are applied only after the DB instance is rebooted.
A company needs to migrate Oracle Database Standard Edition running on an Amazon EC2 instance to an Amazon RDS for Oracle DB instance with Multi-AZ. The database supports an ecommerce website that runs continuously. The company can only provide a maintenance window of up to 5 minutes. Which solution will meet these requirements?,A. Configure Oracle Real Application Clusters (RAC) on the EC2 instance and the RDS DB instance.Update the connection string to point to the RAC cluste,B. Once the EC2 instance and RDS DB instance are in sync  fail over from Amazon EC2 to Amazon RDS.,C. Export the Oracle database from the EC2 instance using Oracle Data Pump and perform an import into Amazon RD,D. Stop the application for the entire proces,E. When the import is complete  change thedatabase connection string and then restart the application.,F. Configure AWS DMS with the EC2 instance as the source and the RDS DB instance as the destination.Stop the application when the replication is in sync change the database connection string  and then restart the application. G. Configure AWS DataSync with the EC2 instance as the source and the RDS DB instance as the destinatio H. Stop the application when the replication is in sync  change the database connection string  and then restart the application.,3,radio,,,
A financial institution uses AWS to host its online application. Amazon RDS for MySQL is used to host the application's database  which includes automatic backups. The program has corrupted the database logically  resulting in the application being unresponsive. The exact moment the corruption occurred has been determined  and it occurred within the backup retention period. How should a database professional restore a database to its previous state prior to corruption?,A. Use the point-in-time restore capability to restore the DB instance to the specified tim,B. No changes to the application connection string are required.,C. Use the point-in-time restore capability to restore the DB instance to the specified tim,D. Change the application connection string to the new  restored DB instance.,E. Restore using the latest automated backu,F. Change the application connection string to the new  restored DB instance. G. Restore using the appropriate automated backu H. No changes to the application connection string are required.,2,radio,,,"When you perform a restore operation to a point in time or from a DB Snapshot  a new DB Instance is created with a new endpoint (the old DB Instance can be deleted if so desired). This is done to enable you to create multiple DB Instances from a specific DB Snapshot or point in time."""
A company has two separate AWS accounts: one for the business unit and another for corporate analytics. The company wants to replicate the business unit data stored in Amazon RDS for MySQL in us-east-1 to its corporate analytics Amazon Redshift environment in us-west-1. The company wants to use AWS DMS with Amazon RDS as the source endpoint and Amazon Redshift as the target endpoint. Which action will allow AVS DMS to perform the replication?,A. Configure the AWS DMS replication instance in the same account and Region as Amazon Redshift.,B. Configure the AWS DMS replication instance in the same account as Amazon Redshift and in the same Region as Amazon RDS.,C. Configure the AWS DMS replication instance in its own account and in the same Region as Amazon Redshift.,D. Configure the AWS DMS replication instance in the same account and Region as Amazon RDS.,,,1,radio,,,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Target.Redshift.html
A company is migrating its on-premises database workloads to the AWS Cloud. A database specialist performing the move has chosen AWS DMS to migrate an Oracle database with a large table to Amazon RDS. The database specialist notices that AWS DMS is taking significant time to migrate the data. Which actions would improve the data migration speed? (Choose three.),A. Create multiple AWS DMS tasks to migrate the large table.,B. Configure the AWS DMS replication instance with Multi-AZ.,C. Increase the capacity of the AWS DMS replication server.,D. Establish an AWS Direct Connect connection between the on-premises data center and AWS.,E. Enable an Amazon RDS Multi-AZ configuration.,F. Enable full large binary object (LOB) mode to migrate all LOB data for all large tables.,3,radio,,,
A database specialist needs to configure an Amazon RDS for MySQL DB instance to close non-interactive connections that are inactive after 900 seconds. What should the database specialist do to accomplish this task?,A. Create a custom DB parameter group and set the wait_timeout parameter value to 900. Associate the DB instance with the custom parameter group.,B. Connect to the MySQL database and run the SET SESSION wait_timeout=900 command.,C. Edit the my.cnf file and set the wait_timeout parameter value to 900. Restart the DB instance.,D. Modify the default DB parameter group and set the wait_timeout parameter value to 900.,,,1,radio,,,"https://aws.amazon.com/fr/blogs/database/best-practices-for-configuring-parameters-for-amazon-rds-for-mysql- ""You can set parameters globally using a parameter group. Alternatively  you can set them for a particular session using the SET command."" https://aws.amazon.com/blogs/database/best-practices-for-configuring-parameters-for-amazon-rds-for-mysql-pa"
An IT consulting company wants to reduce costs when operating its development environment databases. The company’s workflow creates multiple Amazon Aurora MySQL DB clusters for each development group. The Aurora DB clusters are only used for 8 hours a day. The DB clusters can then be deleted at the end of the development cycle  which lasts 2 weeks. Which of the following provides the MOST cost-effective solution?,A. Use AWS CloudFormation template,B. Deploy a stack with the DB cluster for each development group.Delete the stack at the end of the development cycle.,C. Use the Aurora DB cloning featur,D. Deploy a single development and test Aurora DB instance  and create clone instances for the development group,E. Delete the clones at the end of the development cycle.,F. Use Aurora Replica G. From the master automatic pause compute capacity option  create replicas for each development group  and promote each replica to maste H. Delete the replicas at the end of the development cycle. I. Use Aurora Serverles J. Restore current Aurora snapshot and deploy to a serverless cluster for each development grou K. Enable the option to pause the compute capacity on the cluster and set an appropriate timeout.,2,radio,,,Aurora Serverless is not compatible to all Aurora provisioned engine version. However  you can do clone with most engine version. Meanwhile  I also consider the performance while restoring snapshot to Aurora Serverless. https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-serverless.how-it-works.html#aurora https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-serverless.html#aurora-serverless.us
A large ecommerce company uses Amazon DynamoDB to handle the transactions on its web portal. Traffic patterns throughout the year are usually stable; however  a large event is planned. The company knows that traffic will increase by up to 10 times the normal load over the 3-day event. When sale prices are published during the event  traffic will spike rapidly. How should a Database Specialist ensure DynamoDB can handle the increased traffic?,A. Ensure the table is always provisioned to meet peak needs,B. Allow burst capacity to handle the additional load,C. Set an AWS Application Auto Scaling policy for the table to handle the increase in traffic,D. Preprovision additional capacity for the known peaks and then reduce the capacity after the event,,,4,radio,,,"https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/bp-partition-key-design.html#bp-partition ""DynamoDB provides some flexibility in your perpartition throughput provisioning by providing burst capacity. Whenever you're not fully using a partition's throughput  DynamoDB reserves a portion of that unused capacity for later bursts of throughput to handle usage spikes. DynamoDB currently retains up to 5 minutes (300 seconds) of unused read and write capacity. During an occasional burst of read or write activity these extra capacity units can be consumed quickly—even faster than the per-second provisioned throughput capacity that you've defined for your table. DynamoDB can also consume burst capacity for background maintenance and other tasks without prior notice. Note that these burst capacity details might change in the future."""
A company is using Amazon Aurora PostgreSQL for the backend of its application. The system users are complaining that the responses are slow. A database specialist has determined that the queries to Aurora take longer during peak times. With the Amazon RDS Performance Insights dashboard  the load in the chart for average active sessions is often above the line that denotes maximum CPU usage and the wait state shows that most wait events are IO:XactSync. What should the company do to resolve these performance issues?,A. Add an Aurora Replica to scale the read traffic.,B. Scale up the DB instance class.,C. Modify applications to commit transactions in batches.,D. Modify applications to avoid conflicts by taking locks.,,,3,radio,,,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraPostgreSQL.Reference.html https://blog.dbi-services.com/aws-aurora-xactsync-batchcommit/
On AWS  a business is developing a web application. The application needs that the database supports concurrent read and write activities in several AWS Regions. Additionally  the database must communicate data changes across Regions as they occur. The application must be highly available and have a latency of less than a few hundred milliseconds. Which solution satisfies these criteria?,A. Amazon DynamoDB global tables,B. Amazon DynamoDB streams with AWS Lambda to replicate the data,C. An Amazon ElastiCache for Redis cluster with cluster mode enabled and multiple shards,D. An Amazon Aurora global database,,,1,radio,,,"Aurora Global Databases provides a writer and a reader endpoints in the primary region but only a reader endpoints in other region. Although strongly consistent  it does not fulfill the requirements that ""there are plenty of read / write activities"" in all regions."
An electric utility company wants to store power plant sensor data in an Amazon DynamoDB table. The utility company has over 100 power plants and each power plant has over 200 sensors that send data every 2 seconds. The sensor data includes time with milliseconds precision  a value  and a fault attribute if the sensor is malfunctioning. Power plants are identified by a globally unique identifier. Sensors are identified by a unique identifier within each power plant. A database specialist needs to design the table to support an efficient method of finding all faulty sensors within a given power plant. Which schema should the database specialist use when creating the DynamoDB table to achieve the fastest query time when looking for faulty sensors?,A. Use the plant identifier as the partition key and the measurement time as the sort ke,B. Create a global secondary index (GSI) with the plant identifier as the partition key and the fault attribute as the sort key.,C. Create a composite of the plant identifier and sensor identifier as the partition ke,D. Use the measurement time as the sort ke,E. Create a local secondary index (LSI) on the fault attribute.,F. Create a composite of the plant identifier and sensor identifier as the partition ke G. Use the measurement time as the sort ke H. Create a global secondary index (GSI) with the plant identifier as the partition key and the fault attribute as the sort key. I. Use the plant identifier as the partition key and the sensor identifier as the sort ke J. Create a local secondary index (LSI) on the fault attribute.,4,radio,,,Plant id as partition key and Sensor id as a sort key. Fault can be identified quickly using the local secondary index and associated plant and sensor can be identified easily.
A database specialist is constructing an AWS CloudFormation stack using AWS CloudFormation. The database expert wishes to avoid the stack's Amazon RDS ProductionDatabase resource being accidentally deleted. Which solution will satisfy this criterion?,A. Create a stack policy to prevent update,B. Include €Effect€ : €ProductionDatabase€ and €Resource€€Deny€ in the policy.,C. Create an AWS CloudFormation stack in XML forma,D. Set xAttribute as false.,E. Create an RDS DB instance without the DeletionPolicy attribut,F. Disable termination protection. G. Create a stack policy to prevent update H. Include Effect  Deny  and Resource :ProductionDatabase in the policy.,"D. This Deny statement prevents all update actions  such as replacement or deletion  on the ProductionDatabase resource.""",4,radio,,
A Database Specialist is migrating an on-premises Microsoft SQL Server application database to Amazon RDS for PostgreSQL using AWS DMS. The application requires minimal downtime when the RDS DB instance goes live. What change should the Database Specialist make to enable the migration?,A. Configure the on-premises application database to act as a source for an AWS DMS full load with ongoing change data capture (CDC),B. Configure the AWS DMS replication instance to allow both full load and ongoing change data capture (CDC),C. Configure the AWS DMS task to generate full logs to allow for ongoing change data capture (CDC),D. Configure the AWS DMS connections to allow two-way communication to allow for ongoing change data capture (CDC),,,1,radio,,,"requires minimal downtime when the RDS DB instance goes live in order to do CDC: ""you must first ensure that ARCHIVELOG MODE is on to provide information to LogMiner. AWS DMS uses LogMiner to read information from the archive logs so that AWS DMS can capture changes"" https://docs.aws.amazon.com/dms/latest/sbs/chap-oracle2postgresql.steps.configureoracle.html ""If you want to capture and apply changes (CDC)  then you also need the following privileges."""
A company is going to use an Amazon Aurora PostgreSQL DB cluster for an application backend. The DB cluster contains some tables with sensitive data. A Database Specialist needs to control the access privileges at the table level. How can the Database Specialist meet these requirements?,A. Use AWS IAM database authentication and restrict access to the tables using an IAM policy.,B. Configure the rules in a NACL to restrict outbound traffic from the Aurora DB cluster.,C. Execute GRANT and REVOKE commands that restrict access to the tables containing sensitive data.,D. Define access privileges to the tables containing sensitive data in the pg_hba.conf file.,,,3,radio,,,
A manufacturing company’s website uses an Amazon Aurora PostgreSQL DB cluster. Which configurations will result in the LEAST application downtime during a failover? (Choose three.),A. Use the provided read and write Aurora endpoints to establish a connection to the Aurora DB cluster.,B. Create an Amazon CloudWatch alert triggering a restore in another Availability Zone when the primary Aurora DB cluster is unreachable.,C. Edit and enable Aurora DB cluster cache management in parameter groups.,D. Set TCP keepalive parameters to a high value.,E. Set JDBC connection string timeout variables to a low value.,F. Set Java DNS caching timeouts to a high value.,1,radio,,,
A retail company with its main office in New York and another office in Tokyo plans to build a database solution on AWS. The company’s main workload consists of a mission-critical application that updates its application data in a data store. The team at the Tokyo office is building dashboards with complex analytical queries using the application data. The dashboards will be used to make buying decisions  so they need to have access to the application data in less than 1 second. Which solution meets these requirements?,A. Use an Amazon RDS DB instance deployed in the us-east-1 Region with a read replica instance in the ap- northeast-1 Regio,B. Create an Amazon ElastiCache cluster in the ap-northeast-1 Region to cache application data from the replica to generate the dashboards.,C. Use an Amazon DynamoDB global table in the us-east-1 Region with replication into the ap-northeast-1 Regio,D. Use Amazon QuickSight for displaying dashboard results.,E. Use an Amazon RDS for MySQL DB instance deployed in the us-east-1 Region with a read replica instance in the ap-northeast-1 Regio,F. Have the dashboard application read from the read replica. G. Use an Amazon Aurora global databas H. Deploy the writer instance in the us-east-1 Region and the replica in the ap-northeast-1 Regio I. Have the dashboard application read from the replicaap-northeast-1 Region.,4,radio,,,https://aws.amazon.com/blogs/database/aurora-postgresql-disaster-recovery-solutions-using-amazon-aurora-glob
